type,form_or_lemma,frequency
NOUN,transition,22071
NOUN,énergie,16878
NOUN,transport,14933
NOUN,solution,12293
NOUN,exemple,12054
NOUN,production,11544
NOUN,place,10732
NOUN,entreprise,10419
NOUN,consommation,10186
NOUN,eau,9674
NOUN,produit,9506
NOUN,voiture,9352
NOUN,vie,8381
NOUN,an,8116
NOUN,niveau,7732
NOUN,ville,7088
NOUN,pollution,6944
NOUN,véhicule,6928
NOUN,écologie,6535
NOUN,prix,6526
NOUN,agriculture,6349
NOUN,électricité,6297
NOUN,déchet,6266
NOUN,recherche,6105
NOUN,terme,6028
NOUN,france,5993
NOUN,utilisation,5695
NOUN,terre,5683
NOUN,projet,5344
NOUN,pays,5324
NOUN,état,5316
NOUN,question,5123
NOUN,emploi,5111
NOUN,service,5102
NOUN,économie,5008
NOUN,coût,4959
NOUN,batterie,4932
NOUN,besoin,4921
NOUN,travail,4878
NOUN,développement,4793
NOUN,environnement,4786
NOUN,citoyen,4768
NOUN,compte,4759
NOUN,aide,4727
NOUN,etat,4654
NOUN,biodiversité,4576
NOUN,personne,4530
NOUN,industrie,4412
NOUN,enfant,4392
NOUN,problème,4331
NOUN,construction,4319
NOUN,action,4269
NOUN,heure,4208
NOUN,part,4160
NOUN,camion,4128
NOUN,loi,4104
NOUN,société,4059
NOUN,monde,4018
NOUN,système,3977
NOUN,lieu,3920
NOUN,nombre,3919
NOUN,recyclage,3813
NOUN,cas,3807
NOUN,mesure,3787
NOUN,matière,3779
NOUN,changement,3779
NOUN,population,3755
NOUN,chose,3745
NOUN,zone,3679
NOUN,choix,3658
NOUN,emballage,3650
NOUN,kilomètre,3634
NOUN,pollueur,3615
NOUN,gouvernement,3578
NOUN,année,3544
NOUN,jour,3496
NOUN,fois,3415
NOUN,chauffage,3407
NOUN,panneau,3398
NOUN,qualité,3366
NOUN,point,3317
NOUN,moteur,3300
NOUN,ressource,3248
NOUN,partie,3223
NOUN,oui,3175
NOUN,interdiction,3151
NOUN,argent,3129
NOUN,investissement,3116
NOUN,achat,3096
NOUN,émission,3024
NOUN,sujet,3002
NOUN,réduction,2990
NOUN,poids,2974
NOUN,installation,2912
NOUN,temps,2883
NOUN,urgence,2869
NOUN,mode,2862
NOUN,intérêt,2845
NOUN,rapport,2821
NOUN,priorité,2810
NOUN,condition,2801
NOUN,source,2751
NOUN,protection,2746
NOUN,école,2743
NOUN,bâtiment,2706
NOUN,domaine,2705
NOUN,animal,2677
NOUN,alimentation,2654
NOUN,usage,2652
NOUN,hydrogène,2640
NOUN,décision,2601
NOUN,plan,2598
NOUN,éducation,2588
NOUN,fin,2536
NOUN,voie,2535
NOUN,logement,2525
NOUN,création,2498
NOUN,mise,2493
NOUN,activité,2473
NOUN,norme,2465
NOUN,consommateur,2462
NOUN,obligation,2460
NOUN,euro,2458
NOUN,proposition,2439
NOUN,air,2424
NOUN,sens,2415
NOUN,réseau,2409
NOUN,impact,2383
NOUN,cause,2377
NOUN,région,2376
NOUN,ferroutage,2373
NOUN,débat,2360
NOUN,fiscalité,2355
NOUN,fonction,2348
NOUN,maison,2338
NOUN,route,2314
NOUN,collectivité,2275
NOUN,manière,2247
NOUN,taxation,2234
NOUN,fabrication,2218
NOUN,conscience,2200
NOUN,effort,2197
NOUN,nature,2194
NOUN,climat,2153
NOUN,augmentation,2151
NOUN,objectif,2145
NOUN,gestion,2132
NOUN,croissance,2128
NOUN,charge,2098
NOUN,particulier,2089
NOUN,contrôle,2083
NOUN,conséquence,2066
NOUN,modèle,2056
NOUN,filière,2032
NOUN,principe,2016
NOUN,proximité,1990
NOUN,ligne,1971
NOUN,étude,1956
NOUN,milliard,1897
NOUN,gaspillage,1892
NOUN,exploitation,1865
NOUN,vitesse,1858
NOUN,producteur,1847
NOUN,espèce,1841
NOUN,isolation,1794
NOUN,type,1793
NOUN,chasse,1785
NOUN,centre,1768
NOUN,essence,1765
NOUN,lobby,1742
NOUN,face,1738
NOUN,pesticide,1729
NOUN,stockage,1703
NOUN,technologie,1700
NOUN,rénovation,1697
NOUN,verre,1694
NOUN,santé,1691
NOUN,cours,1686
NOUN,million,1681
NOUN,surface,1661
NOUN,commerce,1660
NOUN,information,1659
NOUN,alternative,1641
NOUN,taxe,1640
NOUN,habitat,1636
NOUN,autoroute,1635
NOUN,importation,1635
NOUN,limitation,1618
NOUN,energie,1607
NOUN,arrêt,1603
NOUN,carburant,1600
NOUN,groupe,1596
NOUN,carbone,1593
NOUN,circulation,1585
NOUN,résultat,1581
