lemma,frequency
falloir,37984
mettre,19780
faire,19155
développer,13562
produire,12750
pouvoir,12633
devoir,12497
arrêter,12187
taxer,11078
prendre,10631
favoriser,10559
permettre,10473
interdire,9310
utiliser,9266
réduire,7663
créer,7442
voir,7415
passer,7273
payer,6730
changer,6480
vouloir,6380
limiter,6048
imposer,5949
aider,5753
inciter,5616
donner,5563
proposer,5489
agir,5209
augmenter,5171
trouver,5127
consommer,4659
obliger,4534
revenir,4466
supprimer,4446
financer,4241
exister,4217
encourager,4208
aller,4206
vivre,4169
diminuer,4041
polluer,3987
éviter,3973
venir,3930
devenir,3918
respecter,3891
investir,3581
savoir,3420
acheter,3340
construire,3300
continuer,3146
sortir,3127
remettre,2908
protéger,2876
cesser,2863
travailler,2859
servir,2850
lier,2736
penser,2700
appliquer,2686
soutenir,2563
remplacer,2527
lutter,2517
améliorer,2495
concerner,2468
détruire,2287
vendre,2285
demander,2282
souhaiter,2279
montrer,2259
commencer,2218
croire,2188
arriver,2155
adapter,2137
assurer,2126
attendre,2095
promouvoir,2076
installer,2023
engager,2003
réaliser,1978
contribuer,1955
pesticider,1954
jeter,1942
accompagner,1927
revoir,1916
dire,1855
baisser,1828
comprendre,1813
générer,1772
fabriquer,1769
importer,1766
stopper,1765
demande,1737
traiter,1734
offrir,1709
coûter,1703
accepter,1703
préserver,1671
connaître,1656
prévoir,1652
autoriser,1606
fonctionner,1604
avoir,1583
pénaliser,1580
apporter,1566
nécessiter,1550
organiser,1546
renforcer,1542
représenter,1535
rendre,1527
porter,1502
finir,1497
conduire,1496
partir,1479
expliquer,1478
instaurer,1461
considérer,1460
accélérer,1450
répondre,1447
manger,1425
rouler,1420
participer,1416
lancer,1393
faciliter,1384
gagner,1383
laisser,1380
entreprendre,1366
maintenir,1347
fermer,1341
poser,1338
déplacer,1332
intégrer,1316
abandonner,1311
sensibiliser,1300
sentir,1289
mener,1282
orienter,1276
traverser,1275
transformer,1272
oublier,1271
gérer,1268
fournir,1265
entendre,1252
subventionner,1250
programmer,1248
impliquer,1247
perdre,1229
modifier,1227
retrouver,1207
profiter,1203
sauver,1200
apprendre,1199
partager,1188
atteindre,1185
habiter,1179
contrôler,1172
réfléchir,1155
éduquer,1154
envisager,1150
rester,1146
émettre,1120
informer,1115
choisir,1115
définir,1106
valoriser,1098
décider,1091
bénéficier,1085
tenir,1059
nourrir,1057
pousser,1056
contraindre,1023
former,1000
chercher,993
sanctionner,987
suivre,972
viser,964
avancer,962
évoluer,942
aimer,937
baser,934
empêcher,930
disposer,920
récupérer,915
présenter,910
ajouter,907
garantir,906
problème,904
soumettre,904
culpabiliser,902
exploiter,896
constater,884
obtenir,879
subir,876
disparaître,876
tri,875
constituer,867
jouer,856
tuer,848
alimenter,844
donne,837
conserver,836
imaginer,821
résoudre,820
effectuer,819
garder,812
engendrer,809
reprendre,809
affecter,808
adopter,804
régler,803
valoir,798
fixer,791
rétablir,791
convaincre,790
pose,787
occuper,776
tourner,774
dépasser,767
multiplier,765
reconnaître,763
regarder,760
dépendre,758
consigner,753
essayer,748
repenser,747
compenser,746
refuser,746
équiper,742
entretenir,731
accorder,726
vélo,718
établir,717
écouter,714
supporter,712
compter,706
aborder,700
amener,696
rejeter,694
circuler,693
ouvrir,692
économiser,687
paraître,682
inclure,682
provoquer,681
isoler,680
redonner,678
justifier,678
contenir,678
chauffer,674
associer,672
relancer,671
dépenser,668
réserver,667
porte,664
trier,663
inscrire,652
forcer,650
communiquer,649
parcourir,645
exiger,644
annoncer,637
exprimer,632
entrer,628
punir,625
destiner,624
préparer,622
entraîner,619
relever,619
parler,610
transporter,610
developper,608
poursuivre,606
monter,604
durer,604
montre,604
étudier,602
planter,597
risque,594
espérer,587
envoyer,586
prouver,585
consacrer,583
tirer,583
stocker,580
rappeler,579
opposer,573
provenir,569
arreter,567
toucher,562
appuyer,561
peser,561
appeler,560
recevoir,560
concentrer,559
valider,558
payeur,557
évaluer,556
constructeur,555
démontrer,549
réparer,548
laisse,547
concevoir,543
suffire,540
posséder,539
réussir,539
rapporter,536
attaquer,533
pratiquer,529
impacter,528
responsabiliser,524
évoquer,524
marcher,523
verser,522
éteindre,521
inventer,515
renoncer,514
cultiver,513
voter,513
remplir,510
céder,509
placer,509
nettoyer,508
lire,505
rénover,502
privilégier,502
convier,500
inspirer,499
taxe,497
charger,494
mesure,490
consister,489
base,486
correspondre,485
condamner,485
réguler,477
freiner,476
vente,476
citer,472
rentrer,471
origine,467
bannir,466
mobiliser,464
parer,461
préférer,460
défendre,460
étendre,459
mourir,454
mesurer,454
collecter,446
généraliser,440
distribuer,438
intéresser,438
sélectif,435
encadrer,432
santer,427
intervenir,425
introduire,425
acquérir,422
situer,422
bouger,421
quitte,421
enrichir,419
dégager,415
percevoir,414
veiller,414
couvrir,409
manque,406
eviter,405
libérer,402
indiquer,401
dédier,401
allouer,397
retenir,397
assumer,395
identifier,394
enseigner,394
apparaître,390
possibiliter,390
maîtriser,387
rémunérer,386
employer,386
légiférer,385
implanter,384
aide,384
bloquer,382
dégrader,382
terrer,380
lutte,380
brûler,378
parvenir,376
insister,372
éliminer,372
vérifier,371
appartenir,371
miser,371
rechercher,371
diriger,370
retirer,369
anticiper,368
recycler,365
responsabiliter,364
recharger,363
réorienter,363
nuire,363
louer,362
avérer,362
manquer,361
éclairer,361
souffrir,359
satisfaire,356
menacer,356
tenter,355
déterminer,353
ramener,352
rembourser,351
gaspiller,351
accroître,351
afficher,350
déposer,349
causer,348
sujet,348
empoisonner,347
simplifier,346
déclarer,344
chasser,342
relocaliser,340
allumer,340
récompenser,338
baisse,338
surtaxer,335
combattre,335
aboutir,332
recréer,331
induire,330
attribuer,329
ramasser,329
essence,329
loger,328
doter,327
campagner,326
défigurer,326
comparer,325
tomber,324
noter,323
optimiser,321
lever,320
réutiliser,320
classer,317
accéder,316
répartir,314
calculer,314
réagir,313
exporter,311
convertir,311
poindre,311
juger,311
eduquer,310
motiver,310
bâtir,309
restaurer,307
fonder,307
écrire,307
sembler,306
relier,305
publier,305
préciser,303
composer,303
réglementer,302
redistribuer,302
diffuser,297
interroger,297
couper,296
emprunter,294
regrouper,292
prime,292
survivre,291
surveiller,290
confier,290
préconiser,286
desservir,284
signer,284
focaliser,281
rapprocher,281
prétendre,280
estimer,280
dénoncer,279
convenir,278
accentuer,278
reverser,277
élever,277
couter,277
signifier,276
découvrir,276
reposer,275
participe,274
replanter,273
exercer,271
prélever,270
ignorer,269
verbaliser,268
racheter,268
exclure,268
croisière,266
sécuriser,265
revendre,264
affirmer,262
débarrasser,262
renouveler,261
présente,261
emballer,260
traduire,259
détourner,259
prôner,258
pousse,258
contraignanter,257
admettre,257
observer,256
oser,255
ralentir,254
reculer,253
